,name,forks,stars,watchers,subscribers
91,jbloomlab/SARS-CoV-2-RBD_B.1.351,1,1,1,0
92,penglbio/Trinity,0,0,0,1
93,vodkatad/snakegatk,0,1,1,1
94,StephenRicher/RNA-Flow,0,0,0,1
95,csbl-inovausp/snakemake_lab_training,0,1,1,3
96,ruppinlab/CSI-Microbes-identification,2,3,3,3
97,vodkatad/WXS_SNV,0,0,0,2
98,liluacrobat/Shotgun_inStrain,0,0,0,1
99,aryarm/as_analysis,7,6,6,2
100,Faitero/iCount_snakemake,0,0,0,1
101,LoGT-KULeuven/y2h_Bam35-Bt_analysis,0,0,0,2
102,Finn-Lab/MAG_Snakemake_wf,10,36,36,4
103,CGI-stLFR/CGI_WGS_Pipeline,0,0,0,3
104,jhavensHMC/sciATAC,0,0,0,0
105,ding-lab/germline_variant_snakemake,0,5,5,20
106,OSU-SRLab/SCLC-autopsy-genomics,0,0,0,4
107,leboralli/pipeline_ncrna,0,0,0,0
108,recombinationlab/sciL3Pipe,0,1,1,2
109,loire/snakevirome,0,0,0,2
110,vrmarcelino/MetaModels,0,0,0,1
111,agata-sm/piRNA-seq_pipeline,1,1,1,1
112,kircherlab/cfDNA,3,10,10,4
113,callumparr/ont_tutorial_cdna_deseq2,2,0,0,0
114,vpc-ccg/freddie,3,6,6,5
115,tyhsu389/uphl_reference_free,0,1,1,1
116,hennlab/snake-IBDne,0,0,0,4
117,KL-Bloomer/mres-malaria-gene-expression,0,1,1,1
118,itatop/popsimenv,0,0,0,2
119,jcmcnch/MGPrimerEval,0,1,1,2
120,lyijin/bismsmark,0,0,0,2
121,fcarelli/glre,0,0,0,1
122,skinmicrobiome/skin_MAGs,1,4,4,1
123,ding-lab/germline_variant_snakemake,0,5,5,20
124,stevenpastor/snakemake-exome-workflow,0,1,1,1
125,maxlcummins/pipelord,1,3,3,3
126,jaimicore/Epromoters,0,0,0,1
127,harlydurbin/bovine_demo,0,0,0,1
128,AlgoLab/MALVIRUS-repro,0,0,0,7
129,CGI-stLFR/CGI_de_novo_real_Pipeline,0,0,0,2
130,longread-well/shortread-pipeline,0,0,0,2
131,bhattlab/bhattlab_workflows,12,35,35,10
132,JyotiDalal93/bioinformatics_pipeline_ngs,0,0,0,1
133,nanoporetech/pipeline-pinfish-analysis,5,26,26,20
134,terrimporter/SCVURL_rbcL_metabarcode_pipeline,0,0,0,2
135,eiserdr/histone-chipseq,0,0,0,2
136,liluacrobat/Shotgun_inStrain,0,0,0,1
137,neherlab/enterovirus_a71,0,0,0,4
138,tijeco/FUSTr,3,5,5,3
139,shiandy/epi507-project,0,0,0,2
140,yijiaozhang/hypercompare,0,0,0,2
141,montpetitlab/Aguilar_and_Paul_et_al_2020,1,0,0,1
142,mydennislab/snake-fastcn,0,0,0,3
143,ecalfee/hilo,1,3,3,2
144,vivekbhr/cage_pipeline,1,3,3,1
145,michalogit/snake_hisat,0,2,2,1
146,longread-well/bakeoff,1,1,1,4
147,deto/Snakemake_Tutorial,9,23,23,3
148,CarolinaPB/gbs-genetic-fitness,0,0,0,1
149,nluhmann/AGapEs,1,1,1,2
150,bluegenes/2020-simulate-rnaseq,0,0,0,1
151,vodkatad/WXS_SNV,0,0,0,2
152,yeroslaviz/bcfngs_Mapping_automation,0,0,0,1
153,eanbit-rt/ReproducibleResearch,4,0,0,2
154,alexzaccaron/2021_enec_mt,0,0,0,1
155,wenching/DataSciencesPlatforms,0,0,0,1
156,CVUA-RRW/BAnalyzer,0,0,0,1
157,RajLabMSSM/leafcutter-pipeline,3,2,2,3
158,itatop/popsimenv,0,0,0,2
159,kircherlab/cfDNA,3,10,10,4
160,vaquerizaslab/chess-2021,0,0,0,3
161,mmontemurro/clustering_benchmarking,0,0,0,1
162,bhattlab/bhattlab_workflows,12,35,35,10
163,NielInfante/Pipeline_control,0,0,0,1
164,PEDIA-Charite/PEDIA-workflow,9,5,5,4
165,amberr098/snakemakeOWE11,0,0,0,0
166,SchulzLab/Aeron,6,8,8,3
167,kevinrue/snakemake_alevin_citeseq_tutorial,0,1,1,1
168,elimoss/metagenomics_workflows,12,15,15,0
169,AAFC-BICoE/snakemake-mothur,1,9,9,4
170,sraorao/snakemake_GMS_MT2021,0,0,0,2
171,evolbioinfo/zika_Vietnam,0,0,0,4
172,Ducklegs17/pacbio_hifi,0,0,0,2
173,fedxa/RPF_pipeline,1,1,1,3
174,matthiasparusel/fpbiows18,0,0,0,0
175,maxlcummins/pipelord,1,3,3,3
176,lfdelzam/contig_taxonomy,0,0,0,1
177,msauria/T2T_Kmer_Analysis,0,0,0,2
178,boasvdp/COMBAT,0,0,0,1
179,UMich-Mind-Lab/pipeline-task-standard,0,0,0,2
180,tijeco/FUSTr,3,5,5,3
181,hevmarriott/m00a-snakemake,1,0,0,2
182,rostkick/frameshift,0,0,0,1
183,shigdon/snakemake_mucilage-isolates,0,0,0,2
184,rmcolq/rampart-coi,0,0,0,1
185,fcarelli/glre,0,0,0,1
186,COMBINE-lab/pufferfish_experiments,0,1,1,6
187,longread-well/bakeoff,1,1,1,4
188,d-henness/deseq2_project,0,0,0,1
189,songlab-cal/scquint,0,1,1,3
190,kpatel427/chipseq-snakemake,0,0,0,0
191,bettybliu/snakeATAC-singularity,0,1,1,1
192,YanisChrys/borrelia_workflow,1,1,1,1
193,linsalrob/atavide,0,2,2,2
194,UvA-MAD/NGS-pipelines,1,0,0,4
195,NCBI-Hackathons/MassiveSeq,3,2,2,7
196,eanbit-rt/ReproducibleResearch,4,0,0,2
197,van-der-knaap-lab/varitome-variant-calling,1,1,1,2
198,betty-wu-1/RATTLE-pipeline,0,0,0,1
199,kauralasoo/macrophage-tuQTLs,2,1,1,4
200,CGI-stLFR/CGI_de_novo_sim_Pipeline_no_seed,0,1,1,2
201,Mayrlab/atlas-mm,0,0,0,1
202,johnlees/PopPIPE,2,7,7,2
203,wenching/DataSciencesPlatforms,0,0,0,1
204,ecalfee/hilo,1,3,3,2
205,shiandy/ukbb-qc,1,1,1,2
206,Fear-Lab/biost2036-modern-methods,13,0,0,2
207,zhuchcn/exceRNApipeline,0,1,1,2
208,MigleSur/BacDist,3,0,0,0
209,lfdelzam/Automatic_transcriptome_analysis,0,0,0,0
210,arushiv/islet_cage,2,0,0,2
211,pirovc/ganon_benchmark,0,1,1,0
212,BleekerLab/snakemake_rnaseq,3,3,3,3
213,anthfm/ExomeProcess,0,1,1,1
214,thomasbtf/hello-diamond,0,0,0,1
215,davidries84/bismark_snakemake,0,1,1,1
216,marlonberg/ChIP-Seq-Pipeline,0,0,0,0
217,jaimicore/JASPAR_2020,0,0,0,1
218,iqbal-lab-org/paper_gramtools_nesting,1,0,0,4
219,lcdb/lcdb-test-data-human,0,1,1,7
220,Bella2347/snakemake-sex-chr,2,1,1,1
221,hchyang/PSiTE,2,9,9,3
222,jbloomlab/SARS-CoV-2-RBD_MAP_Rockefeller,0,4,4,2
223,fabiopuddu/augur-fermentorum,0,1,1,2
224,troyrowan/imputation-pipeline,0,0,0,1
225,mw55309/MAGCloudCosts,0,0,0,3
226,CFarcy/snakemake_for_tassel,1,0,0,1
227,csoeder/PsiSeq2,0,1,1,3
228,liluacrobat/Shotgun_inStrain,0,0,0,1
229,dbespiatykh/TBvar,0,0,0,1
230,BeeCSI-Microbiome/taxonomic_profiling_pipeline,1,0,0,2
231,natir/project-diploid-assembly-UAB-graph-analysis,1,0,0,1
232,nioo-knaw/BSAnalyser,1,0,0,2
233,itatop/popsimenv,0,0,0,2
234,jfear/ncbi_remap,0,1,1,4
235,ChaissonLab/danbing-tk,1,13,13,4
236,cchauve/AGapEs,0,0,0,2
237,YutingPKU/Bulk_RNA-Seq_Workflow_Snakemake,4,7,7,1
238,HeyLifeHD/amplicon_seq_pipeline,1,0,0,0
239,ashwini06/chipseq_pipeline,0,0,0,1
240,jmeppley/np_read_clustering,0,0,0,1
241,EngreitzLab/hypr-seq,0,1,1,3
242,supernifty/msi-diff,0,0,0,1
243,emorice/RNASeq_example,0,0,0,1
244,gagneurlab/OUTRIDER-analysis,1,1,1,3
245,CarolinaPB/population-structural-var-calling-smoove,1,0,0,1
246,colejensen/sarscov2,0,0,0,0
247,YutingPKU/Bulk_RNA-Seq_Workflow_Snakemake,4,7,7,1
248,pablo-gar/somatic_mutations_GTEx,12,9,9,1
249,alexpcheng/bisulfite_cfDNA,3,4,4,0
250,bhattlab/bhattlab_workflows,12,35,35,10
251,CJREID/snplord,1,1,1,2
252,mw55309/MAGCloudCosts,0,0,0,3
253,jbloomlab/SARSr-CoV_homolog_survey,2,1,1,0
254,jbloomlab/SARS-CoV-2-RBD_MAP_Crowe_antibodies,1,5,5,2
255,LUDC-bioinformatics/SMC_MYOCD,0,0,0,3
256,PEDIA-Charite/PEDIA-workflow,9,5,5,4
257,penglbio/RNA_Seq,0,0,0,1
258,porchard/ATACseq-Snakemake,4,2,2,1
259,dst-umms/MAMBA,1,0,0,4
260,oskarvid/snakemake-intro,1,0,0,1
261,Miachol/hamlet,0,0,0,2
262,vrmarcelino/MetaModels,0,0,0,1
263,arushiv/regulatoryAnnotations_comparisons,1,1,1,2
264,GeorgiaBreckell/assembly_pipeline,0,1,1,0
265,leahkemp/testing_seattleflu_assembly,0,0,0,1
266,csoeder/VolkanLab_BehaviorGenetics,0,0,0,2
267,BackofenLab/SalamiSnake,2,3,3,2
268,natir/yacrd-and-fpa-upstream-tools-for-lr-genome-assembly,0,0,0,1
269,vodkatad/WXS_SNV,0,0,0,2
270,Boyle-Lab/short-read-seq_snakemake,0,0,0,3
271,harlydurbin/bovine_demo,0,0,0,1
272,fburic/candia,2,4,4,2
273,leahkemp/testing_seattleflu_assembly,0,0,0,1
274,CarolinaPB/nanopore-assembly,0,0,0,1
275,bioinformatics-leibniz-hki/DAnIEL,1,1,1,2
276,getzlab/smk-m2,0,0,0,2
277,TGAC/lncRNA-analysis,1,2,2,11
278,Snitkin-Lab-Umich/genome_downloading_snakemake,0,0,0,2
279,fmaguire/neisseria_amr_genomics,0,0,0,1
280,COMBINE-lab/pufferfish_experiments,0,1,1,6
281,nanoporetech/pipeline-polya-ng,2,8,8,19
282,yeroslaviz/bcfngs_Mapping_automation,0,0,0,1
283,Miachol/hamlet,0,0,0,2
284,kdm9/2020_snakemake-workshop,1,3,3,2
285,elliekpursey/crispr-pathogens,0,0,0,1
286,elimoss/metagenomics_workflows,12,15,15,0
287,maxlcummins/pipelord,1,3,3,3
288,Shmuppel/diagnostic-genome-analysis,0,0,0,1
289,pablo-gar/somatic_mutations_GTEx,12,9,9,1
290,jbloom/SARS-CoV-2_Shen_et_al,0,1,1,2
291,mgildea87/RNAseq_PE_HISAT2_stringtie,0,0,0,1
292,alexpcheng/bisulfite_cfDNA,3,4,4,0
293,yuxuth/snake_hisat_cutadapt,0,0,0,2
294,HussainAther/chipseq,0,0,0,1
295,chuckzzzz/snake_make_tutorial,0,0,0,1
296,Shmuppel/diagnostic-genome-analysis,0,0,0,1
297,laseaman/odsc_snakemake_tutorial,2,5,5,1
298,bioxfu/iCLIP,1,0,0,2
299,mdjaffardjy/reprohackaton_2021,0,0,0,1
300,leboralli/pipeline_ncrna,0,0,0,0
301,WatsonLab/GoogleMAGs,2,1,1,3
302,longread-well/shortread-pipeline,0,0,0,2
303,AAFC-BICoE/snakemake-mothur,1,9,9,4
304,aschuerch/bactofidia,2,5,5,4
305,athalexiou/DIANA-RSeq,0,1,1,1
306,Tina04021997/TCRsequencing,1,0,0,1
307,shu251/tagseq-qiime2-snakemake,7,10,10,2
308,Finn-Lab/MAG_Snakemake_wf,10,36,36,4
309,vodkatad/snakegatk,0,1,1,1
310,EichlerLab/pav,3,24,24,4
311,zavolanlab/polyAsite_workflow,1,8,8,2
312,wenching/DataSciencesPlatforms,0,0,0,1
313,EulleSA/Metagenomics_Analysis,0,0,0,1
314,AAFC-BICoE/snakemake-barcoding-assembly-pipeline,1,0,0,7
315,Finn-Lab/MAG_Snakemake_wf,10,36,36,4
316,liluacrobat/Shotgun_inStrain,0,0,0,1
317,lparsons/reference_processing,0,1,1,1
318,thw17/Mayo_breast_cancer_heterogeneity_assembly,0,0,0,4
319,jbloomlab/SARS-CoV-2-RBD_MAP_Ellebedy_Abs,0,0,0,2
320,JoeBlackSci/SAHDA,1,0,0,2
321,leahkemp/testing_seattleflu_assembly,0,0,0,1
322,EichlerLab/pav,3,24,24,4
323,dijashis/TP_WORKFLOW_SNAKEMAKE,0,0,0,1
324,jiyideanjiao/Alkaline_Adaptation,0,1,1,1
325,scbaca/cwas,1,2,2,1
326,yeroslaviz/bcfngs_Mapping_automation,0,0,0,1
327,franciscozorrilla/metaGEM,21,72,72,3
328,longread-well/bakeoff,1,1,1,4
329,keyuxi/array_analysis,0,0,0,1
330,mirand863/ganon_cami2,0,1,1,1
331,harlydurbin/bovine_demo,0,0,0,1
332,vodkatad/WXS_SNV,0,0,0,2
333,chrishah/phylogenomics-intro,0,1,1,1
334,pmenzel/illumina-assembly-snake,0,0,0,1
335,WatsonLab/GoogleMAGs,2,1,1,3
336,mgildea87/CHROME_ChIPseq,0,0,0,1
337,lasersonlab/phip-stat,8,7,7,4
338,evolbioinfo/phylocovid,0,3,3,3
339,maxlcummins/pipelord,1,3,3,3
340,fcarelli/glre,0,0,0,1
341,terrimporter/SCVUR_16S_metabarcode_pipeline,0,2,2,0
342,longread-well/bakeoff,1,1,1,4
343,d3b-center/diseaseXpress-pipeline,0,1,1,5
344,vodkatad/snakegatk,0,1,1,1
345,slebedeva/CLIP_mapping,0,1,1,2
346,BackofenLab/SalamiSnake,2,3,3,2
347,csoeder/VolkanLab_BehaviorGenetics,0,0,0,2
348,liluacrobat/Shotgun_inStrain,0,0,0,1
349,LUMC/HAMLET,3,3,3,3
350,Juliepvr/snakemake_metagenomic,0,0,0,0
351,TheJacksonLaboratory/toymake,0,0,0,2
352,gummystick/snakemake,0,0,0,1
353,harlydurbin/bovine_demo,0,0,0,1
354,WatsonLab/GoogleMAGs,2,1,1,3
355,JDKling/Syn_microdiversity,0,0,0,1
356,benpkeith/Furey-Lab-RNA-seq,0,0,0,1
357,Carroll-Lab/sRNA_fastq_to_fasta,0,1,1,2
358,franciscozorrilla/metaGEM,21,72,72,3
359,Frankjacobslab/ChIP-seq,1,0,0,1
360,cchauve/AGapEs,0,0,0,2
361,andersonbrito/ncovbr,0,0,0,1
362,mestill7/Isoseq_processing,0,0,0,0
363,waglecn/helD_search,0,0,0,1
364,yongchao/motrpac_rnaseq,2,1,1,4
365,blab/cartography,1,1,1,5
366,jlanga/smsk_pantherscore,1,0,0,2
367,ashwin-s-ranade/creating-count-matrix,0,1,1,1
368,arushiv/islet_cage,2,0,0,2
369,claireewilliams/SnakeMakeQIIMECW,0,0,0,1
370,z-sector/stepik_snakemake,0,0,0,0
371,jlanga/smsk_smrtanalysis,1,0,0,2
372,alexhbnr/mitoBench-ancientMT,0,3,3,2
373,fbartusch/snakemake_tutorial,4,1,1,1
374,vodkatad/snakegatk,0,1,1,1
375,chrstraub/SNP_calling_workflow,0,0,0,1
376,AlgoLab/MALVIRUS-repro,0,0,0,7
377,Jingyu-Fan/imputed_cistrome,1,0,0,1
378,cgob/codonDT_snakemake,2,1,1,2
379,vodkatad/snakegatk,0,1,1,1
380,fcarelli/glre,0,0,0,1
381,mrvollger/StainedGlass,3,27,27,4
382,reliscu/sam_ampseq,0,0,0,1
383,davidries84/bismark_snakemake,0,1,1,1
384,mw55309/MAGCloudCosts,0,0,0,3
385,i2bc/TOP,0,0,0,3
386,evolbioinfo/zika_Vietnam,0,0,0,4
387,ambenj/bin_das_tool,0,0,0,1
388,nanoporetech/pipeline-transcriptome-de,17,79,79,22
389,jaimicore/JASPAR_2020,0,0,0,1
390,HussainAther/chipseq,0,0,0,1
391,longread-well/shortread-pipeline,0,0,0,2
392,maxlcummins/pipelord,1,3,3,3
393,jhavensHMC/sciATAC,0,0,0,0
394,shaunchuah/cfdna_workflow,0,0,0,1
395,Shmuppel/diagnostic-genome-analysis,0,0,0,1
396,aomlomics/tourmaline,8,16,16,3
397,longread-well/bakeoff,1,1,1,4
398,iqbal-lab-org/paper_gramtools_nesting,1,0,0,4
399,bnelsj/bwa_mem_mapping,0,2,2,2
400,paudano/pbsv,0,0,0,1
401,vodkatad/snakegatk,0,1,1,1
402,populationgenomics/utr-variants,0,0,0,9
403,scottgigante/haplotyped-methylome,6,18,18,4
404,ACSoupir/SnakeMake,2,1,1,1
405,kkchau/RNAseq_Pipeline,2,2,2,2
406,paulimer/RNA-seq-analysis-pipeline,1,0,0,1
407,WatsonLab/GoogleMAGs,2,1,1,3
408,razielar/Identification-of-de-novo-lncRNA-genes,0,0,0,0
409,liluacrobat/Shotgun_inStrain,0,0,0,1
410,jbloomlab/SARS-CoV-2-RBD_MAP_AZ_Abs,0,0,0,2
411,CyanoWorld/reciprocal_blast_pipeline,0,0,0,2
412,alexzaccaron/2021_enec_mt,0,0,0,1
413,wdecoster/methplotlib,12,64,64,9
414,relorbany/Exp1_prelim_analysis,0,1,1,2
415,fcarelli/glre,0,0,0,1
416,iqbal-lab-org/paper_gramtools_nesting,1,0,0,4
417,liutiming/snakemake-workshop-files,0,0,0,1
418,ding-lab/CPTAC3_splicing,1,0,0,25
419,troyrowan/imputation-pipeline,0,0,0,1
420,Finn-Lab/skin_microbiome,0,0,0,3
421,Mayrlab/txcutr-db,0,0,0,1
422,nextstrain/zika,5,3,3,16
423,shoffm/ONT_unaligned_meth_calling,0,0,0,1
424,jiyideanjiao/Alkaline_Adaptation,0,1,1,1
425,ecalfee/hilo,1,3,3,2
426,williamjeong2/snakemake_RNA-seq,0,0,0,0
427,msauria/T2T_MUK_Analysis,0,0,0,2
428,KoesGroup/Snakemake_hisat-DESeq,3,3,3,3
429,jbloomlab/SARSr-CoV_RBD_MAP,0,0,0,2
430,linsalrob/PPPF,0,0,0,2
431,fabiopuddu/augur-fermentorum,0,1,1,2
432,vaquerizaslab/Ing-Simmons_et_al_dorsoventral_3D_genome,3,2,2,2
433,Finn-Lab/MAG_Snakemake_wf,10,36,36,4
434,gagneurlab/ALS-kaggle,1,1,1,6
435,ding-lab/HTAN_bulkRNA_expression,0,0,0,21
436,sfrenk/other-seq_pipelines,0,0,0,1
437,fcarelli/glre,0,0,0,1
438,kkchau/RNAseq_Pipeline,2,2,2,2
439,MigleSur/Pactyper,0,0,0,0
440,MostafaYA/SnakePipelines,0,1,1,1
441,vodkatad/WXS_SNV,0,0,0,2
442,tgac-vumc/RNA-seq,2,0,0,3
443,Shmuppel/diagnostic-genome-analysis,0,0,0,1
444,bposzewiecka/tytus,0,0,0,0
445,arvestad/accuracy_in_prime,0,0,0,1
446,bhattlab/bhattlab_workflows,12,35,35,10
447,martian-yan/Massive_Blast_Pipeline,0,0,0,1
448,erwinerdem/STEAP,1,4,4,1
449,dbrg77/plate_scATAC-seq,14,38,38,5
450,Miachol/hamlet,0,0,0,2
451,jbloom/SARS-CoV-2_PRJNA612766,14,80,80,9
452,XianXin0418/SWORD-pipeline,0,0,0,0
453,vodkatad/WXS_SNV,0,0,0,2
454,CGI-stLFR/CGI_WGS_Pipeline,0,0,0,3
455,liluacrobat/Shotgun_inStrain,0,0,0,1
456,IgnatiusPang/Snakemake_Demo,0,0,0,1
457,fabiopuddu/augur-fermentorum,0,1,1,2
458,yongchao/motrpac_rnaseq,2,1,1,4
459,bhattlab/bhattlab_workflows,12,35,35,10
460,laelbarlow/typhaon,1,0,0,2
461,veg/coronavirus-comparative,0,0,0,4
462,olledejong/Snakemake-Pipeline,0,0,0,1
463,AAFC-BICoE/snakemake-barcoding-assembly-pipeline,1,0,0,7
464,bluegenes/2020-simulate-rnaseq,0,0,0,1
465,anthony-moreau/hackaton-ACKP,0,0,0,2
466,YutingPKU/Bulk_RNA-Seq_Workflow_Snakemake,4,7,7,1
467,AroArz/RGI,0,0,0,1
468,vodkatad/WXS_SNV,0,0,0,2
469,CGI-stLFR/CGI_supernova_Pipeline,0,0,0,2
470,pmonnahan/admixMap,0,0,0,1
471,vaquerizaslab/Ing-Simmons_et_al_dorsoventral_3D_genome,3,2,2,2
472,davidries84/bismark_snakemake,0,1,1,1
473,mgildea87/ChIPseq,0,0,0,1
474,bioxfu/iCLIP,1,0,0,2
475,naturalis/brassicaceae-hybseq-pipeline,1,4,4,12
476,paudano/pbsv,0,0,0,1
477,andnischneider/its_workflow,3,1,1,0
478,fcarelli/glre,0,0,0,1
479,sztankatt/brandeis-secondment,0,0,0,1
480,mrvollger/PhaseONT,0,0,0,1
481,fcarelli/glre,0,0,0,1
482,maxlcummins/pipelord,1,3,3,3
483,nextstrain/avian-flu,4,2,2,17
484,jmcbroome/circleseq,1,1,1,1
485,WatsonLab/GoogleMAGs,2,1,1,3
486,zeeev/DASVC,4,12,12,2
487,bhattlab/bhattlab_workflows,12,35,35,10
488,emmahodcroft/enterovirus_genome,0,1,1,1
489,itatop/popsimenv,0,0,0,2
490,yyolanda/snakemake_for_rnaseq,0,0,0,2
491,WatsonLab/GoogleMAGs,2,1,1,3
492,fmarotta/bioinfoconda,0,0,0,2
493,fcarelli/glre,0,0,0,1
494,drdiran/DNA_Seq_GATK_snakemake,0,0,0,1
495,fcarelli/glre,0,0,0,1
496,fennerm/daphnia-mtdna-ma,0,0,0,1
497,EngreitzLab/hypr-seq,0,1,1,3
498,bhattlab/bhattlab_workflows,12,35,35,10
499,liluacrobat/Shotgun_inStrain,0,0,0,1
500,filcfig/PCP,0,0,0,3
501,AlBi-HHU/genetic-polyploid-phasing-suppl-material,0,0,0,2
502,KBoehme/ADGC_HRC_merge,1,0,0,3
503,eanbit-rt/ReproducibleResearch,4,0,0,2
504,fcarelli/glre,0,0,0,1
505,jdblischak/cardioqtl,2,3,3,1
506,ajtock/Wheat_DMC1_ASY1_paper,0,0,0,2
507,bhattlab/bhattlab_workflows,12,35,35,10
508,vodkatad/snakegatk,0,1,1,1
509,vodkatad/WXS_SNV,0,0,0,2
510,TGAC/lncRNA-analysis,1,2,2,11
511,EPLeyne/sm_test,1,1,1,2
512,boulund/iceman_analysis,0,0,0,1
513,bhattlab/bhattlab_workflows,12,35,35,10
514,rmvpaeme/cfRRBS_manuscript,3,3,3,1
515,letaylor/reference_1000G,1,1,1,1
516,rr39943/pop_density-edu_level,0,0,0,2
517,conchoecia/hormiphora,0,0,0,3
518,Malfoy/KFC,1,2,2,8
519,mgildea87/CUT-RUN,0,0,0,1
520,ZacharieMenetrier/Koffie,0,0,0,0
521,LynnGroup-SCIS-JNU/SnakeVar,0,0,0,1
522,AlgoLab/HapCHAT-experiments,0,0,0,6
523,shilpagarg/CRISPR_analysis,0,1,1,1
524,sraorao/snakemake_cc_2021,0,1,1,2
525,futureprof2/artic-noro,0,0,0,0
526,snystrom/faire-pipeline,0,0,0,1
527,mmontemurro/clustering_benchmarking,0,0,0,1
528,tjense25/SRS_SV_calling,0,0,0,1
529,bhattlab/bhattlab_workflows,12,35,35,10
