,contributor,nb_wf,list_wf
777,KevinMenden,21,"{'harleenduggal/nfcore-rnaseq', 'nf-core/ampliseq', 'nf-core/cutandrun', 'nf-core/raredisease', 'nf-core/epitopeprediction', 'harleenduggal/RNASEQ', 'nf-core/viralrecon', 'nf-core/gwas', 'nf-core/mag', 'nf-core/modules', 'nf-core/smrnaseq', 'nf-core/rnavar', 'nf-core/nanoseq', 'KevinMenden/testpipe', 'nf-core/airrflow', 'nf-core/bacass', 'KevinMenden/hybrid-assembly', 'nf-core/cageseq', 'KevinMenden/nf-core-testpipeline', 'KevinMenden/tf-activity', 'nf-core/rnaseq'}"
711,alneberg,21,"{'harleenduggal/nfcore-rnaseq', 'eQTL-Catalogue/rnaseq', 'harleenduggal/RNASEQ', 'sickle-in-africa/saw.sarek', 'sripaladugu/germline_somatic', 'junyu-boston/dicerna-rnaseq', 'FAANG/GSM-pipeline', 'nf-core/methylseq', 'nf-core/mag', 'nf-core/sarek', 'alam1988/Nextflow', 'nf-core/nanoseq', 'cgpu/PGP-UK-sarek', 'nf-core/vipr', 'Genomic-Medicine-Linkoping/nf-core-sarek', 'GMS6804-master/Sarek', 'UMCUGenetics/sarek_ubec', 'nf-core/cookiecutter', 'melnel000/Sarek_CBIO', 'nf-core/rnaseq', 'nf-core/exoseq'}"
708,evanfloden,20,"{'nextflow-io/nfcamp-tutorial', 'CRG-CNAG/CalliNGS-NF', 'cbcrg/nf-phdcourse21', 'evanfloden/nf-module-demo', 'nextflow-io/nf-hack17-tutorial', 'pilm-bioinformatics/pipelines-nf-fastrnaseq', 'nf-core/eager', 'seqeralabs/gatk4-germline-snps-indels', 'tiwarialok/new-rnaseq', 'mageshwarm/rnaseq-nf-magesh', 'lifebit-ai/kallisto-sra', 'tobsecret/BADAS_Nextflow_Tutorial', 'lauramble/rnaseq-vizfada', 'Biocentric/rnaseq_debug', 'cbcrg/nf-phdcourse19', 'cbcrg/nf-phdcourse20', 'evanfloden/transXpress-nf', 'nextflow-io/rnaseq-nf', 'nextflow-io/nf-hack18', 'milescsmith/gcls-rnaseq-nf'}"
100,abhi18av,17,"{'harleenduggal/nfcore-rnaseq', 'nf-modules/fastqc', 'abhi18av/nextflow_grid_search', 'seqeralabs/gatk4-germline-snps-indels', 'nf-modules/gatk', 'nf-core/modules', 'bioinformatics-lab/nf-core-singlegenometese', 'harleenduggal/RNASEQ', 'alam1988/Nextflow', 'nf-modules/picard', 'junyu-boston/dicerna-rnaseq', 'nf-core/rnaseq', 'bioinformatics-lab/trigenome-analysis-nf', 'abhi18av/cookiecutter-nextflow', 'nf-core/gwas', 'nf-modules/samtools', 'nf-modules/trimmomatic'}"
472,sminot,16,"{'jgolob/maliampi', 'Golob-Minot/geneshot', 'FredHutch/index-genomes-nf', 'FredHutch/AMGMA', 'FredHutch/diamond-build-tax-db', 'FredHutch/nf-pacbio-bacterial', 'FredHutch/cellprofiler-batch-nf', 'FredHutch/VMAA', 'FredHutch/prokka-nf', 'FredHutch/flye-nf', 'FredHutch/unicycler-nf', 'FredHutch/circulator-nf', 'FredHutch/ccs-nf', 'FredHutch/PGAP-nf', 'FredHutch/nf-sra', 'FredHutch/microbial-rnaseq'}"
496,chelauk,16,"{'chelauk/nf-core-egatransfer', 'chelauk/nf-core-blasr', 'chelauk/test_nextflow_sarek', 'chelauk/nf-core-partial-umi', 'chelauk/nf-core-trimmomatic', 'chelauk/nf-core-mutectplatypus', 'chelauk/nf-core-platypus', 'chelauk/nf-core-deepsnv', 'chelauk/nf-core-umipreprocessing', 'nf-core/sarek', 'sickle-in-africa/saw.sarek', 'sripaladugu/germline_somatic', 'Genomic-Medicine-Linkoping/nf-core-sarek', 'chelauk/nf-core-umi_preprocessing', 'UMCUGenetics/sarek_ubec', 'chelauk/nf-core-hlatyping'}"
515,maxibor,16,"{'maxibor/coproID', 'maxibor/anonymap', 'nf-core/mag', 'maxibor/enaprep', 'nf-core/eager', 'ParisDiderot-Bioinfo/nextflow-intro', 'nf-core/modules', 'maxibor/humann-nf', 'maxibor/metaphlan-nf', 'nf-core/taxprofiler', 'maxibor/admapipe', 'maxibor/dada2-nf', 'maxibor/bowtie2-lca', 'maxibor/test-nf-core-pipeline', 'maxibor/madman', 'maxibor/kraken-nf'}"
649,dfornika,14,"{'BCCDC-PHL/ncov-tools-nf', 'BCCDC-PHL/troika-nf', 'BCCDC-PHL/routine-assembly', 'dfornika/nextflow-artic-ncov2019', 'dfornika/callVariants-with-codons', 'dfornika/stringmlst-nf', 'BCCDC-PHL/consensus-align-utr-trim', 'BCCDC-PHL/mykrobe-nf', 'dfornika/simulate-reads', 'connor-lab/ncov2019-artic-nf', 'dfornika/snippy-phylogenomics-nf', 'dfornika/nf-core-cpo', 'dfornika/simulate-outbreak-dataset', 'BCCDC-PHL/mlst-nf'}"
754,hoelzer,14,"{'hoelzer/mgnify-lr', 'hoelzer/treat', 'hoelzer/nanovirus', 'hoelzer/virify', 'hoelzer/nf_blast', 'nanozoo/wf_prepare_submission_dammit', 'hoelzer/clean', 'hoelzer/wuhan', 'phiweger/isolate_pe', 'hoelzer/nf_example', 'hoelzer-lab/treat', 'hoelzer/dammit-nf', 'hoelzer/NEMO', 'replikation/poreCov'}"
811,pprieto,14,"{'Biocentric/DeepVariantNF', 'pprieto/dragen', 'lifebit-ai/GangSTR', 'lifebit-ai/consensus-variant-caller', 'lifebit-ai/ExpansionHunter', 'lifebit-ai/DeepVariantTrain', 'TheJacksonLaboratory/splicing-pipelines-nf', 'lifebit-ai/long-reads', 'lifebit-ai/DeepVariantWGS', 'lifebit-ai/HipSTR', 'lifebit-ai/kallisto-sra', 'lifebit-ai/ukbb-tutorial', 'lifebit-ai/freebayes', 'lifebit-ai/DeepVariant'}"
1022,arontommi,14,"{'harleenduggal/nfcore-rnaseq', 'nf-core/modules', 'harleenduggal/RNASEQ', 'nf-core/sarek', 'sickle-in-africa/saw.sarek', 'alam1988/Nextflow', 'sripaladugu/germline_somatic', 'Genomic-Medicine-Linkoping/nf-core-sarek', 'GMS6804-master/Sarek', 'melnel000/Sarek_CBIO', 'junyu-boston/dicerna-rnaseq', 'nf-core/rnaseq', 'UMCUGenetics/sarek_ubec', 'arontommi/nf-mixcr'}"
66,lucacozzuto,14,"{'elixir-cloud-proteomics-workflows/elixir_proteomics_QC', 'nextflow-io/elixir-workshop-21', 'biocorecrg/vectorQC', 'biocorecrg/SIB_course_nextflow_Nov_2021', 'biocorecrg/PHIND_course_nextflow_Feb_2022', 'biocorecrg/ELIXIR_containers_nextflow', 'biocorecrg/CoursesCRG_Containers_Nextflow_May_2021', 'biocorecrg/BioNextflow', 'biocorecrg/indrop', 'lucacozzuto/elixir_NF', 'biocorecrg/transcriptome_assembly', 'biocorecrg/C4LWG-2018', 'proteomicsunitcrg/qcloud2-pipeline', 'biocorecrg/allele_specific_RNAseq'}"
31,marchoeppner,14,"{'marchoeppner/esga2', 'ikmb/vep', 'marchoeppner/outbreak-monitoring', 'harleenduggal/nfcore-rnaseq', 'eQTL-Catalogue/rnaseq', 'harleenduggal/RNASEQ', 'marchoeppner/kinseq', 'ikmb/flye-assembly', 'alam1988/Nextflow', 'junyu-boston/dicerna-rnaseq', 'nf-core/rnaseq', 'marchoeppner/trinoflow', 'ikmb/pacbio-preprocess', 'ikmb/ngs-qc'}"
445,stevekm,13,"{'stevekm/MuTect2_target_chunking', 'stevekm/nextflow-samplesheet-demo', 'stevekm/nextflow-demos', 'tobsecret/BADAS_Nextflow_Tutorial', 'NYU-Molecular-Pathology/NGS580-nf', 'nf-core/modules', 'rastiks/viralrecon', 'stevekm/vcf-filter-annotate', 'stevekm/nextflow-pipeline-demo', 'nf-core/viralrecon', 'stevekm/vep-annotation-nf', 'stevekm/fastq-bed-subset', 'NYU-Molecular-Pathology/LG-PACT'}"
193,FriederikeHanssen,13,"{'harleenduggal/nfcore-rnaseq', 'FriederikeHanssen/babysarek', 'nf-core/modules', 'FriederikeHanssen/bamtofastq', 'harleenduggal/RNASEQ', 'nf-core/sarek', 'sickle-in-africa/saw.sarek', 'alam1988/Nextflow', 'sripaladugu/germline_somatic', 'Genomic-Medicine-Linkoping/nf-core-sarek', 'junyu-boston/dicerna-rnaseq', 'nf-core/rnaseq', 'UMCUGenetics/sarek_ubec'}"
868,mashehu,13,"{'nf-core/methylseq', 'harleenduggal/nfcore-rnaseq', 'lengfei5/atacseq_nf', 'nf-core/modules', 'harleenduggal/RNASEQ', 'nf-core/cageseq', 'alam1988/Nextflow', 'nf-core/chipseq', 'junyu-boston/dicerna-rnaseq', 'mashehu/nf-core_test', 'FAANG/GSM-pipeline', 'nf-core/rnaseq', 'nf-core/atacseq'}"
291,mahesh-panchal,13,"{'mahesh-panchal/test_nfcore_workflow_chain', 'Emilyaoc/Nextflow-selection-workflow', 'harleenduggal/nfcore-rnaseq', 'NBISweden/Earth-Biogenome-Project-pilot', 'nf-core/modules', 'mahesh-panchal/nextflow-docker-actions-test', 'harleenduggal/RNASEQ', 'mahesh-panchal/nf-core-alttemplate', 'NBISweden/pipelines-nextflow', 'GroundB/RepeatDefeaters', 'nf-core/rnaseq', 'mahesh-panchal/NBIS_project_template', 'mahesh-panchal/nf-core_modules_demo'}"
981,mfoll,12,"{'Monia234/IARC-alignement', 'IARCbioinfo/fastqc-nf', 'IARCbioinfo/strelka2-nf', 'IARCbioinfo/nf_coverage_demo', 'IARCbioinfo/table_annovar-nf', 'IARCbioinfo/qualimap-nf', 'IARCbioinfo/NGSCheckMate-nf', 'Monia234/IARC-imputation', 'IARCbioinfo/Imputation-nf', 'Monia234/IARC-fastqc', 'lisemangiante/test_nextflow', 'IARCbioinfo/BQSR-nf'}"
897,skrakau,12,"{'harleenduggal/nfcore-rnaseq', 'nf-core/mag', 'nf-core/epitopeprediction', 'harleenduggal/RNASEQ', 'nf-core/sarek', 'sickle-in-africa/saw.sarek', 'alam1988/Nextflow', 'sripaladugu/germline_somatic', 'Genomic-Medicine-Linkoping/nf-core-sarek', 'junyu-boston/dicerna-rnaseq', 'nf-core/rnaseq', 'UMCUGenetics/sarek_ubec'}"
380,Hammarn,12,"{'nf-core/methylseq', 'Gregor-Mendel-Institute/nf-methylpy', 'harleenduggal/nfcore-rnaseq', 'Hammarn/Popolipo', 'eQTL-Catalogue/rnaseq', 'harleenduggal/RNASEQ', 'nf-core/smrnaseq', 'alam1988/Nextflow', 'junyu-boston/dicerna-rnaseq', 'nf-core/rnaseq', 'FAANG/GSM-pipeline', 'nf-core/rnafusion'}"
793,lescai,11,"{'nf-core/modules', 'nibscbioinformatics/viralevo', 'nf-core/sarek', 'sickle-in-africa/saw.sarek', 'sripaladugu/germline_somatic', 'nibscbioinformatics/modules', 'Genomic-Medicine-Linkoping/nf-core-sarek', 'nibscbioinformatics/scranger', 'nibscbioinformatics/humgen', 'UMCUGenetics/sarek_ubec', 'nibscbioinformatics/scoop'}"
407,sven1103,11,"{'nf-core/methylseq', 'Gregor-Mendel-Institute/nf-methylpy', 'harleenduggal/nfcore-rnaseq', 'eQTL-Catalogue/rnaseq', 'harleenduggal/RNASEQ', 'nf-core/hlatyping', 'alam1988/Nextflow', 'nf-core/cookiecutter', 'junyu-boston/dicerna-rnaseq', 'nf-core/rnaseq', 'FAANG/GSM-pipeline'}"
339,JoseEspinosa,10,"{'JoseEspinosa/nf-core-benchmark', 'harleenduggal/nfcore-rnaseq', 'cbcrg/nf-phdcourse21', 'nf-core/modules', 'rastiks/viralrecon', 'harleenduggal/RNASEQ', 'cbcrg/nf-phdcourse20', 'nf-core/viralrecon', 'biocorecrg/ELIXIR_containers_nextflow', 'nf-core/rnaseq'}"
38,chuan-wang,10,"{'harleenduggal/nfcore-rnaseq', 'markgene/cutnrun', 'eQTL-Catalogue/rnaseq', 'harleenduggal/RNASEQ', 'nf-core/smrnaseq', 'alam1988/Nextflow', 'nf-core/chipseq', 'junyu-boston/dicerna-rnaseq', 'nf-core/rnaseq', 'jiangfuqing/Chip-seq'}"
277,robsyme,10,"{'c3g/runvalidation', 'nf-core/methylseq', 'robsyme/nf-nucmercoverage', 'harleenduggal/nfcore-rnaseq', 'harleenduggal/RNASEQ', 'alam1988/Nextflow', 'c3g/genflow-dnaseq', 'junyu-boston/dicerna-rnaseq', 'nf-core/rnaseq', 'FAANG/GSM-pipeline'}"
40,jemten,10,"{'harleenduggal/nfcore-rnaseq', 'nf-core/raredisease', 'eQTL-Catalogue/rnaseq', 'nf-core/modules', 'nf-core/smrnaseq', 'harleenduggal/RNASEQ', 'genomic-medicine-sweden/RareDisease_RNA_workflow', 'alam1988/Nextflow', 'junyu-boston/dicerna-rnaseq', 'nf-core/rnaseq'}"
284,heuermh,10,"{'heuermh/nf-core-hlatyping2', 'nf-core/mag', 'nf-core/modules', 'rastiks/viralrecon', 'mahesh-panchal/nextflow-docker-actions-test', 'heuermh/sars-cov-2', 'heuermh/artic', 'nf-core/viralrecon', 'tobsecret/covid19', 'subwaystation/pangenome'}"
707,lpantano,10,"{'pilm-bioinformatics/pipelines-nf-fastrnaseq', 'harleenduggal/nfcore-rnaseq', 'harleenduggal/RNASEQ', 'nf-core/smrnaseq', 'alam1988/Nextflow', 'pilm-bioinformatics/pipelines-nf-circtools', 'pilm-bioinformatics/pipelines-nf-genomes', 'junyu-boston/dicerna-rnaseq', 'nf-core/rnaseq', 'egenesis/WF-NF-rnassembly'}"
576,pcantalupo,10,"{'harleenduggal/nfcore-rnaseq', 'harleenduggal/RNASEQ', 'nf-core/sarek', 'sickle-in-africa/saw.sarek', 'alam1988/Nextflow', 'sripaladugu/germline_somatic', 'Genomic-Medicine-Linkoping/nf-core-sarek', 'junyu-boston/dicerna-rnaseq', 'nf-core/rnaseq', 'UMCUGenetics/sarek_ubec'}"
575,colindaven,9,"{'nf-core/methylseq', 'harleenduggal/nfcore-rnaseq', 'nf-core/ampliseq', 'eQTL-Catalogue/rnaseq', 'harleenduggal/RNASEQ', 'alam1988/Nextflow', 'junyu-boston/dicerna-rnaseq', 'nf-core/rnaseq', 'FAANG/GSM-pipeline'}"
756,grst,9,"{'harleenduggal/nfcore-rnaseq', 'grst/nf-core-test', 'nf-core/modules', 'harleenduggal/RNASEQ', 'alam1988/Nextflow', 'grst/bd_rhapsody_velocyto', 'junyu-boston/dicerna-rnaseq', 'nf-core/rnaseq', 'icbi-lab/smartseq2_pipeline'}"
1065,chris-cheshire,9,"{'luslab/luslab-nf-modules', 'harleenduggal/nfcore-rnaseq', 'nf-core/cutandrun', 'nf-core/modules', 'harleenduggal/RNASEQ', 'luslab/briscoe-nf-tobias', 'luslab/nf-clip', 'nf-core/rnaseq', 'luslab/nf-core-modules'}"
313,sofiahaglund,9,"{'harleenduggal/nfcore-rnaseq', 'markgene/cutnrun', 'eQTL-Catalogue/rnaseq', 'harleenduggal/RNASEQ', 'alam1988/Nextflow', 'nf-core/chipseq', 'junyu-boston/dicerna-rnaseq', 'nf-core/rnaseq', 'jiangfuqing/Chip-seq'}"
42,peterk87,9,"{'peterk87/nf-biohansel-snippy-comparison', 'peterk87/nf-villumina', 'peterk87/nf-virontus', 'nhhaidee/scovtree', 'peterk87/nf-biohansel-sra-benchmark', 'peterk87/nf-illmap', 'peterk87/nf-ionampliseq', 'peterk87/nf-cleanplex-preprocess', 'peterk87/nf-iav-illumina'}"
410,d4straub,9,"{'nf-core/bacass', 'harleenduggal/nfcore-rnaseq', 'nf-core/mag', 'nf-core/ampliseq', 'nf-core/modules', 'harleenduggal/RNASEQ', 'alam1988/Nextflow', 'junyu-boston/dicerna-rnaseq', 'nf-core/rnaseq'}"
670,rsuchecki,9,"{'harleenduggal/nfcore-rnaseq', 'eQTL-Catalogue/rnaseq', 'harleenduggal/RNASEQ', 'alam1988/Nextflow', 'csiro-crop-informatics/repset', 'junyu-boston/dicerna-rnaseq', 'csiro-crop-informatics/reproducible_poc', 'nf-core/rnaseq', 'csiro-crop-informatics/nextflow-embl-abr-webinar'}"
